	path	effect_type	effect_allele	other_allele	effect_size	standard_error	pvalue	chr_name	start_pos	end_pos	var_id	chrpos	chrpos_spec	start_anchor	end_anchor	pvalue_logged	sep	compression	group	drop	notes	phenotype	unit	no_cases	samplesize	url	metabolite	full_name	filename
lysopc_a_c18_0	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/lysopc_a_c18_0_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	lysoPC a C18:0 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	lysopc_a_c18_0	lysoPC a C18:0 	bior_044.txt.gz
lysopc_a_c18_2_	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/lysopc_a_c18_2__33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	lysoPC a C18:2  	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	lysopc_a_c18_2_	lysoPC a C18:2  	bior_045.txt.gz
lysopc_a_c20_4	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/lysopc_a_c20_4_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	lysoPC a C20:4 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	lysopc_a_c20_4	lysoPC a C20:4 	bior_046.txt.gz
lysopc_a_c26_1	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/lysopc_a_c26_1_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	lysoPC a C26:1 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	lysopc_a_c26_1	lysoPC a C26:1 	bior_047.txt.gz
lysopc_a_c16_0	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/lysopc_a_c16_0_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	lysoPC a C16:0 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	lysopc_a_c16_0	lysoPC a C16:0 	bior_048.txt.gz
lysopc_a_c18_1	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/lysopc_a_c18_1_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	lysoPC a C18:1 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	lysopc_a_c18_1	lysoPC a C18:1 	bior_049.txt.gz
lysopc_a_c20_3	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/lysopc_a_c20_3_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	lysoPC a C20:3 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	lysopc_a_c20_3	lysoPC a C20:3 	bior_050.txt.gz
lysopc_a_c24_0	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/lysopc_a_c24_0_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	lysoPC a C24:0 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	lysopc_a_c24_0	lysoPC a C24:0 	bior_051.txt.gz
lysopc_a_c26_0	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/lysopc_a_c26_0_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	lysoPC a C26:0 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	lysopc_a_c26_0	lysoPC a C26:0 	bior_052.txt.gz
lysopc_a_c28_0	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/lysopc_a_c28_0_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	lysoPC a C28:0 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	lysopc_a_c28_0	lysoPC a C28:0 	bior_053.txt.gz
lysopc_a_c28_1	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/lysopc_a_c28_1_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	lysoPC a C28:1 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	lysopc_a_c28_1	lysoPC a C28:1 	bior_054.txt.gz
pc_aa_c24_0	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/pc_aa_c24_0_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	PC aa C24:0 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	pc_aa_c24_0	PC aa C24:0 	bior_055.txt.gz
pc_aa_c26_0	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/pc_aa_c26_0_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	PC aa C26:0 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	pc_aa_c26_0	PC aa C26:0 	bior_056.txt.gz
pc_aa_c28_1	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/pc_aa_c28_1_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	PC aa C28:1 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	pc_aa_c28_1	PC aa C28:1 	bior_057.txt.gz
pc_aa_c30_0	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/pc_aa_c30_0_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	PC aa C30:0 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	pc_aa_c30_0	PC aa C30:0 	bior_058.txt.gz
pc_aa_c32_0	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/pc_aa_c32_0_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	PC aa C32:0 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	pc_aa_c32_0	PC aa C32:0 	bior_059.txt.gz
pc_aa_c32_1	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/pc_aa_c32_1_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	PC aa C32:1 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	pc_aa_c32_1	PC aa C32:1 	bior_060.txt.gz
pc_aa_c32_2	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/pc_aa_c32_2_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	PC aa C32:2 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	pc_aa_c32_2	PC aa C32:2 	bior_061.txt.gz
pc_aa_c32_3	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/pc_aa_c32_3_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	PC aa C32:3 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	pc_aa_c32_3	PC aa C32:3 	bior_062.txt.gz
pc_aa_c34_1	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/pc_aa_c34_1_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	PC aa C34:1 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	pc_aa_c34_1	PC aa C34:1 	bior_063.txt.gz
pc_aa_c34_2	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/pc_aa_c34_2_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	PC aa C34:2 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	pc_aa_c34_2	PC aa C34:2 	bior_064.txt.gz
pc_aa_c34_3	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/pc_aa_c34_3_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	PC aa C34:3 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	pc_aa_c34_3	PC aa C34:3 	bior_065.txt.gz
pc_aa_c34_4	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/pc_aa_c34_4_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	PC aa C34:4 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	pc_aa_c34_4	PC aa C34:4 	bior_066.txt.gz
pc_aa_c36_0	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/pc_aa_c36_0_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	PC aa C36:0 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	pc_aa_c36_0	PC aa C36:0 	bior_067.txt.gz
pc_aa_c36_1	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/pc_aa_c36_1_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	PC aa C36:1 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	pc_aa_c36_1	PC aa C36:1 	bior_068.txt.gz
pc_aa_c36_2	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/pc_aa_c36_2_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	PC aa C36:2 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	pc_aa_c36_2	PC aa C36:2 	bior_069.txt.gz
pc_aa_c36_3	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/pc_aa_c36_3_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	PC aa C36:3 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	pc_aa_c36_3	PC aa C36:3 	bior_070.txt.gz
pc_aa_c36_4	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/pc_aa_c36_4_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	PC aa C36:4 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	pc_aa_c36_4	PC aa C36:4 	bior_071.txt.gz
pc_aa_c36_5	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/pc_aa_c36_5_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	PC aa C36:5 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	pc_aa_c36_5	PC aa C36:5 	bior_072.txt.gz
pc_aa_c36_6	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/pc_aa_c36_6_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	PC aa C36:6 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	pc_aa_c36_6	PC aa C36:6 	bior_073.txt.gz
pc_aa_c38_0	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/pc_aa_c38_0_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	PC aa C38:0 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	pc_aa_c38_0	PC aa C38:0 	bior_074.txt.gz
pc_aa_c38_1	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/pc_aa_c38_1_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	PC aa C38:1 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	pc_aa_c38_1	PC aa C38:1 	bior_075.txt.gz
pc_aa_c38_3	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/pc_aa_c38_3_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	PC aa C38:3 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	pc_aa_c38_3	PC aa C38:3 	bior_076.txt.gz
pc_aa_c38_4	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/pc_aa_c38_4_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	PC aa C38:4 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	pc_aa_c38_4	PC aa C38:4 	bior_077.txt.gz
pc_aa_c38_5	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/pc_aa_c38_5_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	PC aa C38:5 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	pc_aa_c38_5	PC aa C38:5 	bior_078.txt.gz
pc_aa_c38_6	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/pc_aa_c38_6_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	PC aa C38:6 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	pc_aa_c38_6	PC aa C38:6 	bior_079.txt.gz
pc_aa_c40_1	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/pc_aa_c40_1_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	PC aa C40:1 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	pc_aa_c40_1	PC aa C40:1 	bior_080.txt.gz
pc_aa_c40_2	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/pc_aa_c40_2_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	PC aa C40:2 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	pc_aa_c40_2	PC aa C40:2 	bior_081.txt.gz
pc_aa_c40_3	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/pc_aa_c40_3_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	PC aa C40:3 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	pc_aa_c40_3	PC aa C40:3 	bior_082.txt.gz
pc_aa_c40_4	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/pc_aa_c40_4_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	PC aa C40:4 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	pc_aa_c40_4	PC aa C40:4 	bior_083.txt.gz
pc_aa_c40_5	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/pc_aa_c40_5_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	PC aa C40:5 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	pc_aa_c40_5	PC aa C40:5 	bior_084.txt.gz
pc_aa_c40_6	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/pc_aa_c40_6_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	PC aa C40:6 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	pc_aa_c40_6	PC aa C40:6 	bior_085.txt.gz
pc_aa_c42_0	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/pc_aa_c42_0_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	PC aa C42:0 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	pc_aa_c42_0	PC aa C42:0 	bior_086.txt.gz
pc_aa_c42_1	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/pc_aa_c42_1_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	PC aa C42:1 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	pc_aa_c42_1	PC aa C42:1 	bior_087.txt.gz
pc_aa_c42_2	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/pc_aa_c42_2_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	PC aa C42:2 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	pc_aa_c42_2	PC aa C42:2 	bior_088.txt.gz
pc_aa_c42_4	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/pc_aa_c42_4_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	PC aa C42:4 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	pc_aa_c42_4	PC aa C42:4 	bior_089.txt.gz
pc_aa_c42_5	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/pc_aa_c42_5_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	PC aa C42:5 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	pc_aa_c42_5	PC aa C42:5 	bior_090.txt.gz
pc_aa_c42_6	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/pc_aa_c42_6_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	PC aa C42:6 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	pc_aa_c42_6	PC aa C42:6 	bior_091.txt.gz
pc_ae_c30_0	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/pc_ae_c30_0_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	PC ae C30:0 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	pc_ae_c30_0	PC ae C30:0 	bior_092.txt.gz
pc_ae_c30_1	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/pc_ae_c30_1_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	PC ae C30:1 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	pc_ae_c30_1	PC ae C30:1 	bior_093.txt.gz
pc_ae_c30_2	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/pc_ae_c30_2_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	PC ae C30:2 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	pc_ae_c30_2	PC ae C30:2 	bior_094.txt.gz
pc_ae_c32_1	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/pc_ae_c32_1_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	PC ae C32:1 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	pc_ae_c32_1	PC ae C32:1 	bior_095.txt.gz
pc_ae_c32_2	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/pc_ae_c32_2_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	PC ae C32:2 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	pc_ae_c32_2	PC ae C32:2 	bior_096.txt.gz
pc_ae_c34_0	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/pc_ae_c34_0_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	PC ae C34:0 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	pc_ae_c34_0	PC ae C34:0 	bior_097.txt.gz
pc_ae_c34_1	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/pc_ae_c34_1_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	PC ae C34:1 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	pc_ae_c34_1	PC ae C34:1 	bior_098.txt.gz
pc_ae_c34_2	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/pc_ae_c34_2_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	PC ae C34:2 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	pc_ae_c34_2	PC ae C34:2 	bior_099.txt.gz
pc_ae_c34_3	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/pc_ae_c34_3_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	PC ae C34:3 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	pc_ae_c34_3	PC ae C34:3 	bior_100.txt.gz
pc_ae_c36_0	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/pc_ae_c36_0_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	PC ae C36:0 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	pc_ae_c36_0	PC ae C36:0 	bior_101.txt.gz
pc_ae_c36_1	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/pc_ae_c36_1_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	PC ae C36:1 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	pc_ae_c36_1	PC ae C36:1 	bior_102.txt.gz
pc_ae_c36_2	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/pc_ae_c36_2_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	PC ae C36:2 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	pc_ae_c36_2	PC ae C36:2 	bior_103.txt.gz
pc_ae_c36_3	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/pc_ae_c36_3_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	PC ae C36:3 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	pc_ae_c36_3	PC ae C36:3 	bior_104.txt.gz
pc_ae_c36_4	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/pc_ae_c36_4_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	PC ae C36:4 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	pc_ae_c36_4	PC ae C36:4 	bior_105.txt.gz
pc_ae_c36_5	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/pc_ae_c36_5_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	PC ae C36:5 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	pc_ae_c36_5	PC ae C36:5 	bior_106.txt.gz
pc_ae_c38_0	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/pc_ae_c38_0_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	PC ae C38:0 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	pc_ae_c38_0	PC ae C38:0 	bior_107.txt.gz
pc_ae_c38_1	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/pc_ae_c38_1_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	PC ae C38:1 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	pc_ae_c38_1	PC ae C38:1 	bior_108.txt.gz
pc_ae_c38_2	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/pc_ae_c38_2_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	PC ae C38:2 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	pc_ae_c38_2	PC ae C38:2 	bior_109.txt.gz
pc_ae_c38_3	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/pc_ae_c38_3_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	PC ae C38:3 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	pc_ae_c38_3	PC ae C38:3 	bior_110.txt.gz
pc_ae_c38_4	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/pc_ae_c38_4_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	PC ae C38:4 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	pc_ae_c38_4	PC ae C38:4 	bior_111.txt.gz
pc_ae_c38_5	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/pc_ae_c38_5_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	PC ae C38:5 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	pc_ae_c38_5	PC ae C38:5 	bior_112.txt.gz
pc_ae_c38_6	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/pc_ae_c38_6_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	PC ae C38:6 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	pc_ae_c38_6	PC ae C38:6 	bior_113.txt.gz
pc_ae_c40_1	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/pc_ae_c40_1_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	PC ae C40:1 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	pc_ae_c40_1	PC ae C40:1 	bior_114.txt.gz
pc_ae_c40_2	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/pc_ae_c40_2_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	PC ae C40:2 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	pc_ae_c40_2	PC ae C40:2 	bior_115.txt.gz
pc_ae_c40_3	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/pc_ae_c40_3_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	PC ae C40:3 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	pc_ae_c40_3	PC ae C40:3 	bior_116.txt.gz
pc_ae_c40_4	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/pc_ae_c40_4_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	PC ae C40:4 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	pc_ae_c40_4	PC ae C40:4 	bior_117.txt.gz
pc_ae_c40_5	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/pc_ae_c40_5_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	PC ae C40:5 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	pc_ae_c40_5	PC ae C40:5 	bior_118.txt.gz
pc_ae_c40_6	/projects/0/aus20644/data/gwas_data/lotta_metabolites_full_sumstats_33414548/b38/data_files/pc_ae_c40_6_33414548.b38.gnorm.gz	beta															\t	gzip			rank-inverse normal transformed levels	PC ae C40:6 	SD	0	86507	https://www.nature.com/articles/s41588-020-00751-5	pc_ae_c40_6	PC ae C40:6 	bior_119.txt.gz
